Info 0    [10:59:35.393] Starting TS Server
Info 1    [10:59:35.394] Version: 4.3.4
Info 2    [10:59:35.394] Arguments: /home/boot/.nvm/versions/node/v16.16.0/bin/node /home/boot/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /home/boot/Public/www/ember-svelte-example/app/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/568b5fb63fc61b13a3db36ab245b1a3c/tscancellation*
Info 3    [10:59:35.394] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [10:59:35.394] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [10:59:35.441] Search path: /home/boot/Public/www/ember-svelte-example/app
Info 6    [10:59:35.443] For info: /home/boot/Public/www/ember-svelte-example/app/ember-cli-build.js :: No config files found.
Info 7    [10:59:35.452] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [10:59:44.717] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 9264.996784999967ms
Info 9    [10:59:44.717] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [10:59:44.718] 	Files (436)

Info 11   [10:59:44.718] -----------------------------------------------
Info 12   [10:59:45.819] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry 0:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 13   [10:59:45.819] Elapsed:: 0.5462189998943359ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry 0:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 14   [10:59:45.819] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry 1:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [10:59:45.819] Elapsed:: 0.08571600005961955ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry 1:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [10:59:45.820] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/types-registry 2:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 17   [10:59:45.820] Elapsed:: 0.042575000086799264ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/types-registry 2:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 18   [10:59:45.820] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/README.md 3:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 19   [10:59:45.820] Elapsed:: 0.03709200001321733ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/README.md 3:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 20   [10:59:45.820] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/index.json 4:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 21   [10:59:45.820] Elapsed:: 0.3155090000946075ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/index.json 4:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 22   [10:59:45.820] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/package.json 5:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 23   [10:59:45.820] Elapsed:: 0.10191500000655651ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/package.json 5:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 24   [10:59:45.821] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/types-registry 6:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 25   [10:59:45.821] Elapsed:: 0.034072000067681074ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/types-registry 6:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 26   [10:59:45.821] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/types-registry 7:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 27   [10:59:45.821] Elapsed:: 0.04681699979119003ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules/types-registry/types-registry 7:: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [11:00:01.958] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [11:00:02.016] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 57.557204000186175ms
Info 30   [11:00:02.016] Different program with same set of files:: structureIsReused:: 2
Info 31   [11:00:02.907] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [11:00:02.973] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 65.28623600001447ms
Info 33   [11:00:02.973] Different program with same set of files:: structureIsReused:: 2
Info 34   [11:00:15.686] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [11:00:15.770] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 84.57335299998522ms
Info 36   [11:00:15.771] Different program with same set of files:: structureIsReused:: 2
Info 37   [11:00:16.437] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [11:00:16.514] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 77.24007000005804ms
Info 39   [11:00:16.514] Different program with same set of files:: structureIsReused:: 2
Info 40   [11:00:24.289] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [11:00:24.348] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 58.128089000005275ms
Info 42   [11:00:24.348] Different program with same set of files:: structureIsReused:: 2
Info 43   [11:00:24.823] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [11:00:24.886] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 62.29333300003782ms
Info 45   [11:00:24.886] Different program with same set of files:: structureIsReused:: 2
Info 46   [11:00:26.978] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules :: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 47   [11:00:26.978] Elapsed:: 0.28955100011080503ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules :: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 48   [11:00:27.710] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [11:00:28.024] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: true Elapsed: 313.0285139998887ms
Info 50   [11:00:28.024] Different program with same set of files:: structureIsReused:: 1
Info 51   [11:00:28.025] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [11:00:28.067] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 41.26867400016636ms
Info 53   [11:00:28.067] Different program with same set of files:: structureIsReused:: 2
Info 54   [11:00:30.211] Before ensureProjectForOpenFiles:
Info 55   [11:00:30.211] After ensureProjectForOpenFiles:
Info 56   [11:00:30.211] got projects updated in background, updating diagnostics for /home/boot/Public/www/ember-svelte-example/app/ember-cli-build.js
Info 57   [11:00:31.027] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [11:00:31.065] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 38.039644999895245ms
Info 59   [11:00:31.065] Different program with same set of files:: structureIsReused:: 2
Info 60   [11:00:33.956] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [11:00:35.783] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: true Elapsed: 1827.053830999881ms
Info 62   [11:00:35.783] Project '/dev/null/inferredProject1*' (Inferred)
Info 63   [11:00:35.783] 	Files (597)

Info 64   [11:00:35.783] -----------------------------------------------
Info 65   [11:00:35.902] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules :: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 66   [11:00:35.902] Elapsed:: 0.22301400010474026ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules :: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 67   [11:00:36.205] Before ensureProjectForOpenFiles:
Info 68   [11:00:36.307] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [11:00:37.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: true Elapsed: 796.5789759999607ms
Info 70   [11:00:37.103] Different program with same set of files:: structureIsReused:: 1
Info 71   [11:00:37.105] After ensureProjectForOpenFiles:
Info 72   [11:00:37.105] got projects updated in background, updating diagnostics for /home/boot/Public/www/ember-svelte-example/app/ember-cli-build.js
Info 73   [11:00:38.807] Before ensureProjectForOpenFiles:
Info 74   [11:00:38.807] After ensureProjectForOpenFiles:
Info 75   [11:00:38.807] got projects updated in background, updating diagnostics for /home/boot/Public/www/ember-svelte-example/app/ember-cli-build.js
Info 76   [11:00:39.400] DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules :: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 77   [11:00:39.400] Elapsed:: 0.05404800013639033ms DirectoryWatcher:: Triggered with /home/boot/.cache/typescript/4.3/node_modules :: WatchInfo: /home/boot/.cache/typescript/4.3/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 78   [11:00:40.702] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [11:00:41.500] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: true Elapsed: 797.0312820000108ms
